mauve,rep-2,rep-3,rep-4,diversity,coherence,bleu,self-bleu,perplexity,zipf,domain,model,split_len
0.05252362835978197,6.68,3.63,2.61,0.875852461676,0.36117726032416897,0.25791651188268677,0.5174684153638749,36.03125,0.9534680461720263,story,gpt2,0
0.04326313556603083,5.78,2.75,1.91,0.89878837055,0.38026491715604027,0.25063786001471877,0.4319887325270935,43.125,1.021394007617265,story,gpt2-xl,0
0.04255968686657628,9.46,4.73,3.54,0.832039439868,0.412492431640625,0.3945047488851146,0.5797579867315651,22.421875,1.0725681003647147,story,gpt2,200
0.03779641797524942,9.68,4.52,3.06,0.8359866739840001,0.4497296876290043,0.3721892547528974,0.5422065855045134,28.0625,1.081910268992107,story,gpt2-xl,200
0.060067032146831845,13.06,6.51,4.89,0.7730560392660001,0.4245393082902238,0.42100759922912706,0.5831174691356565,19.703125,1.0902444831780842,story,gpt2,400
0.6904293024575164,12.01,5.4,3.7,0.8015871401999999,0.4305097749917814,0.42429477462615806,0.5649076023334505,19.21875,0.9472765527326383,story,gpt2-xl,400
0.7919501916013634,14.78,6.83,4.87,0.7553271961620001,0.4349545047490923,0.46545556698121665,0.5576973514661843,13.890625,1.0281100894027035,story,gpt2,600
0.7449593354837136,13.81,5.9,3.99,0.7786870887899999,0.43252149040316357,0.4588253687521337,0.5834974398557458,16.234375,1.0685065023985998,story,gpt2-xl,600
0.6862724429546778,18.79,8.46,5.85,0.69990765411,0.4305075126130663,0.4770530444293833,0.6485217149342912,12.328125,1.1318398131002807,story,gpt2,800
0.008327602595542067,16.78,6.98,4.59,0.738580679004,0.4203046557705325,0.468187103732549,0.6050858510986407,19.984375,1.1257271237701862,story,gpt2-xl,800
0.41255621335815496,2.7,0.74,0.38,0.96212976076,0.4768089599609375,0.4319615702332464,0.522211777972953,21.859375,0.9427574670138376,news,gpt2,0
0.2329463213441987,3.18,0.69,0.25,0.95911562145,0.5376095566452975,0.411652125652404,0.519564487772794,22.421875,0.9439578972032584,news,gpt2-xl,0
0.10244441827936533,5.37,1.35,0.61,0.927830447805,0.6399872275694303,0.4458509837527639,0.5899582871461678,16.34375,0.9545818887055614,news,gpt2,200
0.12874465854206324,5.63,1.45,0.65,0.9239712437250001,0.6659568284086125,0.4374554801989605,0.5167107867483846,19.625,0.9519659859317969,news,gpt2-xl,200
0.13380076394602147,7.31,1.72,0.73,0.9043073315640001,0.6407189230317051,0.46147992938264554,0.6214625331026519,15.5625,0.972180014875073,news,gpt2,400
0.7523892108492511,7.88,2.14,1.06,0.891930565008,0.663456651690135,0.4407893003079297,0.5889864387455422,14.8203125,0.9787622243623607,news,gpt2-xl,400
0.6259734777282542,8.99,2.27,1.05,0.880101602335,0.6399789052466823,0.49933534178472544,0.6444608736545581,11.6953125,0.9607539735004302,news,gpt2,600
0.6589222284068874,8.78,2.16,0.98,0.883750014496,0.6637351337084024,0.4866291888525524,0.6049283242447856,13.125,0.9589067387445487,news,gpt2-xl,600
0.6516562022019277,12.15,3.92,2.3,0.8246493556,0.6322804392119985,0.5147342117340129,0.6767483974041145,10.6484375,0.968966221178354,news,gpt2,800
0.01564166286294382,11.26,3.27,1.74,0.843446172852,0.6510495501915214,0.5064437446640657,0.634947947167971,15.9921875,0.9611968058761462,news,gpt2-xl,800
0.4230059328059007,6.7,3.07,2.0,0.8862697620000001,0.517433109709406,0.303560688088768,0.3285873652950463,38.125,1.007038505153093,wiki,gpt2,0
0.46094846666738043,6.01,2.38,1.31,0.9055107320219998,0.5346023402263209,0.3004036367889916,0.3170341061733474,41.15625,0.9685076476215971,wiki,gpt2-xl,0
0.1813855395606282,9.92,4.4,2.94,0.8358465548799999,0.5824887464426445,0.35626970299673544,0.4280794618673166,21.140625,0.9756824380794877,wiki,gpt2,200
0.1683969222967232,9.64,3.82,2.25,0.8495281242,0.6224593207949684,0.3482756248467747,0.3872233857437222,25.203125,0.953977926333464,wiki,gpt2-xl,200
0.06200035949302464,12.14,5.15,3.39,0.80510146381,0.5867601979776208,0.3809991524917029,0.416069914533825,18.734375,0.951905068596669,wiki,gpt2,400
0.7950827365844564,11.68,4.39,2.56,0.8228101754880001,0.6171342873875099,0.37780615068679196,0.3968766067593795,20.78125,1.035986771171632,wiki,gpt2-xl,400
0.9178309849199544,14.95,6.96,4.99,0.75181907052,0.5937062190129206,0.41010433639683874,0.4288416411878277,13.8671875,0.9983543354317659,wiki,gpt2,600
0.8269372809201869,15.11,6.36,4.19,0.7616032326759999,0.6290152272870464,0.40393655769073994,0.41314058031047796,15.34375,0.9676438062139839,wiki,gpt2-xl,600
0.8130589235904154,19.59,8.69,5.76,0.691932424304,0.607209337215505,0.4203161751157905,0.4847392051823534,11.7421875,0.9930133653374743,wiki,gpt2,800
0.026396757316952936,18.99,8.35,5.45,0.7019927625750001,0.6377544314141669,0.41101735806093526,0.4508405357184465,16.6875,0.9749162696699178,wiki,gpt2-xl,800
